mode,prompt_type,id_,p1_sim_score,p2_sim_score,detected_gen
hard,simple,38,0.9853908,0.9734245,2
hard,simple,39,0.9853908,0.9734245,2
hard,simple,40,0.9660145,0.9610342,2
hard,simple,41,0.9660145,0.9610342,2
hard,simple,42,0.9803598,0.99002886,2
hard,simple,43,0.9803598,0.99002886,2
hard,simple,44,0.98117167,0.92033404,2
hard,simple,45,0.98117167,0.92033404,2
hard,simple,46,0.98661804,0.9859388,4
hard,simple,47,0.98661804,0.9859388,4
hard,simple,48,0.9710442,0.9406639,3
hard,simple,49,0.9710442,0.9406639,3
hard,simple,50,0.9835211,0.959869,2
hard,simple,51,0.9835211,0.959869,2
hard,simple,52,0.97213244,0.90313864,2
hard,simple,53,0.97213244,0.90313864,2
hard,simple,54,0.9317733,0.94775856,2
hard,simple,55,0.9317733,0.94775856,2
hard,simple,56,0.9631028,0.9828606,4
hard,simple,57,0.9631028,0.9828606,4
hard,simple,58,0.9268899,0.9785375,2
hard,simple,59,0.9268899,0.9785375,2
hard,simple,60,0.97192407,0.9699191,2
hard,simple,61,0.97192407,0.9699191,2
hard,simple,62,0.96943426,0.95081824,3
hard,simple,63,0.96943426,0.95081824,3
hard,simple,64,0.97379297,0.98315203,2
hard,simple,65,0.97379297,0.98315203,2
hard,simple,66,0.9671831,0.987876,2
hard,simple,67,0.9671831,0.987876,2
hard,simple,68,0.9784188,0.9672746,2
hard,simple,69,0.97717005,0.9815213,2
hard,simple,70,0.97562194,,1
hard,simple,71,0.97562194,,1
hard,simple,72,0.9466864,0.9487989,2
hard,simple,73,0.9466864,0.9487989,2
hard,simple,74,0.9669553,0.9873633,3
hard,simple,75,0.9669553,0.9873633,3
hard,simple,76,0.98111415,0.9681951,2
hard,simple,77,0.98111415,0.9681951,2
hard,simple,78,0.9809613,0.9527561,2
hard,simple,79,0.9809613,0.9527561,2
hard,simple,80,0.98376256,0.9787359,3
hard,simple,81,0.98376256,0.9787359,3
hard,simple,82,0.98507786,0.8372747,2
hard,simple,83,0.98507786,0.8372747,2
hard,simple,84,0.9828935,0.9798672,3
hard,simple,85,0.9828935,0.9798672,3
hard,simple,86,0.95385,0.97078264,2
hard,simple,87,0.95385,0.97078264,2
hard,simple,88,0.9717354,0.9620527,3
hard,simple,89,0.9717354,0.9620527,3
hard,simple,90,0.98372346,0.9323796,3
hard,simple,91,0.98372346,0.9323796,3
hard,action+layout,0,0.973732,0.9726052,2
hard,action+layout,1,0.9554473,0.9654353,2
hard,action+layout,2,0.98377264,0.9357015,3
hard,action+layout,3,0.9703158,0.9325671,2
hard,action+layout,4,0.9739329,,1
hard,action+layout,5,0.9497467,,1
hard,action+layout,6,0.96679187,0.9580678,2
hard,action+layout,7,0.9727523,0.9374473,2
hard,action+layout,8,0.97751856,0.97219515,2
hard,action+layout,9,0.97151816,0.9631856,2
hard,action+layout,10,0.9741943,0.98306966,2
hard,action+layout,11,0.97389877,0.97084296,2
hard,action+layout,12,0.9690689,0.965029,2
hard,action+layout,13,0.9705261,0.9234812,3
hard,action+layout,14,0.9171287,0.9431604,2
hard,action+layout,15,0.9712796,,1
hard,action+layout,16,0.95223993,0.97366446,2
hard,action+layout,17,0.9762384,,1
hard,action+layout,18,0.98142344,0.9856924,2
hard,action+layout,19,0.95348823,0.931232,2
hard,action+layout,20,0.9810086,0.9742247,2
hard,action+layout,21,0.94901526,0.97849005,3
hard,action+layout,22,0.9583115,0.97153723,3
hard,action+layout,23,0.9822669,0.9676004,4
hard,action+layout,24,0.97461414,0.9804556,3
hard,action+layout,25,0.9588678,0.94423854,4
hard,action+layout,26,0.9830379,0.9668753,2
hard,action+layout,27,0.9808642,0.95460117,3
hard,action+layout,28,0.9651964,,1
hard,action+layout,29,0.9659025,0.95587146,2
hard,action+layout,30,0.98406154,0.97640824,4
hard,action+layout,31,0.94250107,0.8097024,3
hard,action+layout,32,0.97858053,0.976948,2
hard,action+layout,33,0.9788977,0.9608325,2
hard,action+layout,34,0.9788101,0.9665495,2
hard,action+layout,35,0.97192615,0.91334,2
hard,action+layout,36,0.980245,0.94930863,2
hard,action+layout,37,0.96793675,0.98720336,2
hard,action+layout,38,0.963919,0.964511,3
hard,action+layout,39,0.9707167,0.94843507,3
hard,action+layout,40,0.9520017,0.98046565,2
hard,action+layout,41,0.96836686,0.9844258,2
hard,action+layout,42,0.9768448,0.98672456,2
hard,action+layout,43,0.96208245,0.96913034,2
hard,action+layout,44,0.9843174,0.969711,2
hard,action+layout,45,0.9808099,0.8825811,3
hard,action+layout,46,0.9801849,0.9680377,3
hard,action+layout,47,0.9599397,0.9266988,2
hard,action+layout,48,0.9893234,0.9536665,2
hard,action+layout,49,0.99050754,0.97910124,3
hard,action+layout,50,0.967196,0.96017003,2
hard,action+layout,51,0.9592184,,1
hard,action+layout,52,0.95710725,,1
hard,action+layout,53,0.9813589,0.94773614,4
hard,action+layout,54,0.9647267,0.9671557,2
hard,action+layout,55,0.96224254,,1
hard,action+layout,56,0.9764122,0.9713298,2
hard,action+layout,57,0.9542575,0.97561455,2
hard,action+layout,58,0.9779626,0.97293025,2
hard,action+layout,59,0.98035675,0.9690404,2
hard,action+layout,60,0.97642875,0.9786963,3
hard,action+layout,61,0.9828525,0.9036414,2
hard,action+layout,62,0.9679312,0.96198034,3
hard,action+layout,63,0.93352866,0.9322055,2
hard,action+layout,64,0.97058487,0.97952557,2
hard,action+layout,65,0.9667564,0.93710655,3
hard,action+layout,66,0.9742409,0.97882175,3
hard,action+layout,67,0.96970874,0.98177177,2
hard,action+layout,68,0.9826088,,1
hard,action+layout,69,0.965448,0.9501205,2
hard,action+layout,70,0.9720213,0.9722631,2
hard,action+layout,71,0.97014254,,1
hard,action+layout,72,0.95370436,,1
hard,action+layout,73,0.9784317,,1
hard,action+layout,74,0.9758425,,1
hard,action+layout,75,0.96477664,,1
hard,action+layout,76,0.96289086,0.97048867,2
hard,action+layout,77,0.9512972,0.97706985,3
hard,action+layout,78,0.9667304,0.94171154,2
hard,action+layout,79,0.9678312,0.9833421,2
hard,action+layout,80,0.9686403,0.9745722,3
hard,action+layout,81,0.9855518,0.9642994,2
hard,action+layout,82,0.98281914,0.9680942,2
